Produto,Descrição,Localização,Código Família,Quant. Estoque,Preço Venda,Unidade
2373812,100001911 - MODELO CAN FD. ADAPTADOR COM UM CONECT,,999,0,"1190,00",UNIDA
10537,1932.383 HELICE VENTILADOR - MOD,,999,1,"514,50",PC
S-10521,197/2222 SILENCIOSO TRAS. KADETT SL/SLE 1.8 89/95,,999,0,"95,62",PC
2373813,304000900 - ADAPTADOR COM UMA PONTA COM 12 PINOS E,,999,0,"147,00",UNIDA
3312408,3312408 CONTRA EIXO - EAT,,999,0,"357,00",PC
3314643,3314643 CARRETEL DO ROLETE - EAT,,999,0,"2478,00",PC
3343135,3343135 KIT ROLETE CARRETEL - EAT,,999,0,"126,00",PC
387A/382S,387A/382S ROLAMENTO LATERAL COROA DIR/ESQ - TKN,,999,0,"199,50",PC
469/453X,469/453X ROLAMENTO LATERAL COROA - TKN,,999,0,"167,79",PC
6PK2272,6PK 2272 CORREIA POLY V,,999,0,"62,50",PC
93180F,93180F JG JUNTA CAMBIO - SAB,,999,1,"9,15",PC
51806904,ADAPTADOR,,999,0,"18,90",PC
9006,ANEIS HONDA 1.5/1.6 16V ASH17 STD - ASH17-STD - B-,,999,0,"314,87",JG
377919133B,ANEL,,999,0,"11,43",UN
059130519,ANEL,,999,0,"33,60",UN
WHT000884,ANEL VEDAC,,999,0,"10,50",UN
51784607,ANTEPARO,,999,0,"346,50",PC
ARS8236,ARS8236 FILTRO AR - TEC,,999,0,"126,00",PC
204661,ATUADOR,,999,0,"357,00",PC
BA401218-X,BA401218-X KIT CALCO - SPI,,999,0,"598,50",PC
BA401220-X,BA401220-X KIT PARAFUSOS DE COROA - SPI,,999,0,"187,02",PC
9393039,BABA DE CAMELO 1L,,999,0,"43,60",PCA
46346282,BOMBA D AGUA MOTOR,,999,0,"470,00",UN
8317,BRONZINA BIELA CIVIC STD - BBH16-STD - E-10A,,999,0,"172,49",JG
7S6H19236AB,CABO DISTR.AR,,999,0,"84,00",UN
100197684,CAIXA FILTRO AR STRADA,,999,0,"560,00",PC
CN155599BA,CALCO SUPERIOR MOLA TRASEIRA ECOSPORT 13/,,999,0,"105,00",PC
30031*,CARCACA,,999,0,"464,63",PC
560021,CARCACA DA BOMBA D AGUA - (6 FUROS) -:,,999,0,"367,50",PC
