Produto,Descricao,Localizacao,Familia,Estoque,Venda,Un
37157,ACABAMENTO INF PARABRISA FOX,,001,15,"28,08",PC
16066,ACABAMENTO LATERAL PB GOL 96/,,001,21,"9,96",PC
38823,ACABAMENTO PB INFERIOR UNO GII,,001,3,"43,20",PC
004308,ACABAMENTO SUPERIOR PB GOL 96/,,001,7,"17,96",PC
19130T,CRISTALIZADOR DE PARA-BRISA,,001,2,"150,00",UN
DCI0101,GUANRICAO PB CITROEN C3,Q-20,001,0,"25,41",PC
761584,GUARNICAO PARA-BRISA (PERFIL INF.) (C/AL,,001,25,"19,06",PC
37062,GUARNICAO PARABRISA METRO,,001,48,"13,98",MT
60267,GUARNICAO PB (TRAVE)COROLLA 08/.,Q-12,001,3,"46,18",PC
409738,GUARNICAO PB ACCELO,Q-5,001,4,"67,98",PC
39234,GUARNICAO PB AXOR/ATEGO,Q-2,001,5,"110,32",PC
38819,GUARNICAO PB CAM.IVECO EUROCARGO 150/160/170,,001,1,"291,17",PC
545739,GUARNICAO PB CITY,,001,1,"111,80",PC
39580,GUARNICAO PB COROLLA 08/14(PVC),Q-12,001,1,"48,41",PC
DTO0110,GUARNICAO PB COROLLA 96/02,Q-19,001,1,"27,95",PC
37765,GUARNICAO PB CORSA CELTA 2/4PT TDS,Q-4,001,5,"51,38",PC
606777,GUARNICAO PB CRUZE PB 11/ LORD MOR,Q-19,001,1,"31,76",PCA
322686,GUARNICAO PB CRUZE/CERATO/HB20/SENTRA,Q-5,001,1,"63,53",PC
38337,GUARNICAO PB ECOSPORT 15/,,001,2,"84,58",PC
38345,GUARNICAO PB F-250 BORRACHA,Q-3,001,4,"70,00",PC
38815,GUARNICAO PB FIAT DUCATO,Q-3,001,1,"90,00",PC
38357,GUARNICAO PB FIESTA 05/.. ECOSPORT SUP/LAT,Q-4,001,5,"56,23",PC
38358,GUARNICAO PB FIESTA AMAZON INFERIOR,,001,8,"19,06",PC
38380,GUARNICAO PB FOCUS 2009/ FLEXIVEL,Q-8,001,6,"71,35",PC
38335,GUARNICAO PB FOCUS 2009/ PVC RIGIDO,PENDURADO NA PAREDE,001,2,"64,23",PC
81110,GUARNICAO PB FORD KA 08/,Q-16,001,1,"85,37",PC
DNI0101,GUARNICAO PB FRONTIER TRAVE,Q-22,001,2,"50,82",PC
700347,GUARNICAO PB GOL/VOY/PAR/SAV ../95,,001,1,"82,20",PC
69291,GUARNICAO PB HILUX 2005/ JAHU,Q-3,001,5,"99,00",PC
DHY110,GUARNICAO PB HYNDAI HR,,001,0,"50,82",PC
39869,GUARNICAO PB HYUNDAI SANTA FE (TODOS),Q-11,001,1,"111,57",PC
11302,GUARNICAO PB MP SENIOR MIDI INTERICA,,001,1,"1091,48",PC
10535,GUARNICAO PB OPALA/CARAVAN TDS,T-23,001,1,"100,21",PC
633539,GUARNICAO PB PALIO GRAN SIENA,,001,3,"92,01",PC
231117,GUARNICAO PB RANGER 2012/,Q-16,001,2,"36,38",PC
23510,GUARNICAO PB RANGER 94/12,Q-16,001,2,"54,19",PC
38348,GUARNICAO PB RANGER ATE 2011,Q-16,001,2,"41,93",PC
39801,GUARNICAO PB RENAULT MASTER/DAILY,Q-2,001,5,"69,37",PCA
296079,GUARNICAO PB S-10 12/ COM ADEVISO,Q-1,001,23,"70,82",PC
37863,GUARNICAO PB S-10 2017/,Q-1,001,4,"85,32",PC
37780,GUARNICAO PB S-10 95/ SUPERIOR,T-15,001,10,"27,37",PC
37794,GUARNICAO PB S-10 APOS 12/ SUPERIOR,Q-6,001,7,"66,80",PC
DHY0103,GUARNICAO PB SANTA FE,T-6,001,1,"173,18",PC
01063,GUARNICAO PB SUP GOLF PVC,,001,2,"46,12",PC
DPE103,GUARNICAO PB SUP PEUGEOT 206,Q-22,001,1,"19,57",PC
8600550,GUARNICAO PB SUPERIOR GOLF 00/ ADESIV,T-17,001,2,"25,80",PC
53501,GUARNICAO PB TIPO,,001,2,"40,85",PC
1985729,GUARNICAO PB TORO,T-9,001,10,"67,51",PC
5550,GUARNICAO PB TUCSON,,001,2,"100,00",PC
603419,GUARNICAO PB UNO 91/ C/ ESPONJA,P-4,001,1,"134,97",PC
604508,GUARNICAO PB UNO 91/ SEM ESPONJA,P-4,001,2,"131,07",PC
422096,GUARNICAO PB VOLVO VM,Q-5,001,5,"64,17",PC
38850,GUARNICAO VG SIENA 98/,Q-22,001,1,"27,95",PC
37581,MOLDURA ARREM P/BRISA M/ORIG AMAROK,,001,0,"19,06",PC
37162,MOLDURA INF PARABRISA POLO,,001,4,"16,63",PC
37501,MOLDURA INF PB ECOSPORT/FIESTA AMAZON,FI-4,001,4,"25,60",PC
38376,MOLDURA INF PB RANGER AP 12 PVC (MOD ORIGINAL),Q-16,001,4,"22,36",PC
DGM0403B,MOLDURA INF PB VECTRA 96/05,Q-22,001,2,"27,95",PC
17531,MOLDURA INF VG CORSA 94/ 4PTAS,T-9,001,1,"19,58",PC
37155,MOLDURA INF+SUPERIORPB PVC (C/2 PC)GOL/PAR/SAV 99/,,001,22,"41,93",PC
8610721,MOLDURA INFERIOR PARABRISA CORSA 02/,T-12,001,1,"23,06",PC
699283,MOLDURA INFERIOR PB GOL GV,,001,7,"28,40",PC
37059,MOLDURA PARABRISA ADESIVADO METRO,,001,25,"14,12",MT
4280,MOLDURA PARABRISA COROLLA 03/05,,001,0,"40,66",PC
1188429,MOLDURA PARABRISA COROLLA PB 15/17 LORD MOR,,001,1,"133,34",PCA
21503,MOLDURA PARABRISA FOCUS /09,,001,0,"43,20",PC
37149,MOLDURA SUP E LATERAL GOL 95/98,TUBO 10,001,63,"20,81",PC
81997,MOLDURA SUP VECTRA 96/,Q-15,001,0,"68,61",PC
17530,MOLDURA SUP VIGIA CORSA (ANTIGO) TDS,,001,0,"16,77",PC
37150,PB SUPERIORPVC(PERFIL H)C/5 PC GOL/PAR 97/98,,001,10,"8,39",PC
381215,RACK DE TETO CORSA/CELTA 4PTA,,080,0,"428,73",PC
VH930,RACK DE TETO CORSA/CELTA KADET 2PTA,,080,0,"316,90",PC
VH950,RACK DE TETO FOX 4PTA,,080,0,"254,10",PC
381210,RACK DE TETO GOL GII/III/IV 2 PORTAS,,080,0,"451,98",PC
VH910,RACK DE TETO GOL GII/III/IV 4 PORTAS,,080,1,"353,55",PC
381224,RACK DE TETO PALIO 00/03 4P - PRETO,,080,0,"353,55",PR
381226,RACK DE TETO PALIO 2004... 4PTA,,080,2,"456,56",PC
381225,RACK DE TETO PALIO 2004/ 2PTAS,,080,1,"451,98",PC
AFP4,RACK DE TETO PALIO 4PTA /FIORINO 98/ FURA TETO,,080,1,"304,92",PC
VH915,RACK DE TETO PALIO 4PTAS ATE 2003,,080,0,"299,36",PC
VH900,RACK DE TETO UNIVERSAL,,080,1,"178,71",PC
VH920,RACK DE TETO UNO /2003 4 PORTAS,,080,0,"389,50",PC
381220,RACK DE TETO UNO 2004... 4PTA,,080,0,"522,05",PC
VH918,RACK DE TETO UNO 2PORTAS /03,,080,1,"471,30",PC
381219,RACK DE TETO UNO 2PORTAS 2004...,,080,1,"472,48",PC
EX48043,EMBLEMA PARA CALOTA 48MM FIAT VERMELHO (JOGO),,100,36,"24,37",JG
EMB01,EMBLEMA PARA CALOTA 48MM FORD,,100,11,"24,37",PC
