codigo_fabricante,descricao_do_produto,marca,preco,estoque,localizacao,preco_promoc_varejo
.922984300137,1 BRONZINA DE MANCAL STD - MWM D225 / D226 /  D229,MWM,"67,01","1,000",ML,
LLB0509,10 LÂMPADAS 69 - 24V / 2W - FAROL PAINEL CAMINHÃO UNIVERSAL,LUCAS,"31,91","2,000",H11-  INF,
LLB0513,10 LÂMPADAS 69 - 24V / 4W - FAROL/PAINEL/CAMINHÃO UNIVERSAL,LUCAS,"18,24","0,000",H11-  INF,
CT909,150STP8M230H-M CORREIA DENTADA- GOLF,CONTI,"247,26","0,000",I9-07,
150STP8M230H,150STP8M230H-M CORREIA DENTADA- GOLF,DAYCO,"262,40","0,000",,
MANGUEIRA,162800,JAHU,"0,00","0,000",X,
K30091,2 KIT ESTABILIZADOR DIANTEIRO OPALA CARAVAN 1980 A 1987 18MM,DIVER,"28,94","0,000",C10-06,
BB144STD,3 JOGOS BRONZINA DE BIELA STD - MWM D-225/226/229,METAL,"99,23","0,000",ML,
922984300137,4 JOGO BRONZINA DE MANCAL STD - MWM D225 / D226 /  D229,MWM,"330,75","0,000",ML,
503102,503102 PIVO SUSPENSAO SUPERIOR  FRONTIER,VIEMA,"0,00","2,000",X,
525,525 EIXO COMAND,DIVER,"0,00","1,000",A6-SUP,
APLIC,527 EIXO  COMANDO,DIVER,"0,00","0,000",A6-SUP,
5PK1295,5PK1295 CORREIA SEM DESCRICAO,IMPOR,"0,00","1,000",GAN80,
MC3048,6 CONDENSADOR - FUSCA 1200 / 1300 / KARMANN GHIA,MARFL,"27,56","0,000",ML,
8350,8350 BUCHA BARRA ESTABILZADORA DIANT 18MM,SAMPE,"54,00","0,000",X,
K30240,ABRACADEIRA / CINTA DO SILENCIOSO - KADETT,KITEC,"37,49","0,000",F9-07,
30245,ABRACADEIRA COIFA CAMBIO UNO 96/ PALIO SIENA STRAD,CORCE,"8,82","10,000",D2-19,
MA017,ABRACADEIRA COIFA CAMBIO UNO 96/ PALIO SIENA STRAD,MATR,"8,82","0,000",F9 -04,
51977263,ABRACADEIRA COIFA CAMBIO UNO 96/ PALIO SIENA STRAD,FIAT,"18,57","0,000",D2-19,
51560,ABRACADEIRA COXIM SUPORTE DO SILENCIOSO - D20 1986/...,CORCE,"156,80","0,000",F9-07,
ACA35,ABRACADEIRA ESCAPAMENTO COM AMIANTO (35MM),UNIVE,"9,24","0,000",,
JP101,ABRACADEIRA ESCAPAMENTO TIPO U 1 3/4,JP,"8,56","2,000",F9-05,
DEW01550,ABRACADEIRA ESCAPAMENTO TIPO U 1 3/4,DEWPA,"14,33","3,000",F9-05,
JP102,ABRACADEIRA ESCAPAMENTO TIPO U 1 7/8,JP,"8,56","10,000",F9-05,
DEW01551,ABRACADEIRA ESCAPAMENTO TIPO U 1 7/8,DEWPA,"15,28","1,000",F9-05,
DEW01552,ABRACADEIRA ESCAPAMENTO TIPO U 2,DEWPA,"14,84","2,000",F9-05,
ATU56,ABRACADEIRA ESCAPAMENTO TIPO U 2  1/4,UNIVE,"6,35","0,000",,
ATU64,ABRACADEIRA ESCAPAMENTO TIPO U 2 1/2,UNIVE,"6,93","0,000",,
JP104,ABRACADEIRA ESCAPAMENTO TIPO U 2 1/8,JP,"13,97","4,000",F9 -04,
ATU54,ABRACADEIRA ESCAPAMENTO TIPO U 2 1/8,UNIVE,"5,78","0,000",,
ATU70,ABRACADEIRA ESCAPAMENTO TIPO U 2 3/4,UNIVE,"6,65","0,000",,
DEW01540,ABRACADEIRA ESCAPAMENTO VW C/PARAFUSO,DEWPA,"13,52","7,000",F11-05,
DEW01557,ABRACADEIRA FIXA DISTRIBUIDORA BRASILIA VARIANT,DEWPA,"17,23","31,000",A9-05,
DEW01558,ABRACADEIRA FIXA DISTRIBUIDORA VW 1300 /76,DEWPA,"17,07","3,000",A9-05,
DEW01107,ABRACADEIRA NYLON UNIVERSAL 158MM,DEWPA,"0,78","214,000",NJ1-07,
DEW01109,ABRACADEIRA NYLON UNIVERSAL 232MM,DEWPA,"1,28","244,000",NJ107,
DEW14007,ABRACADEIRA NYLON UNIVERSAL 390MM,DEWPA,"2,06","59,000",NJ1-07,
9221081279,ABRACADEIRA PARA BOBINA DE IGNICAO - FUSCA / BRASILIA / GOL / COR,BOSCH,"22,05","0,000",F2-15,
DEW13291,"ABRACADEIRA RADIAL 10,1X11,8MM",DEWPA,"6,85","5,000",NJ1-01,
DEW13295,"ABRACADEIRA RADIAL 11,3 X 13,8",DEWPA,"6,01","10,000",NJ1-01,
11780D,"ABRACADEIRA RADIAL 8,8X10,5MM",LAFER,"3,05","0,000",NJ1-01,
DEW13288,"ABRACADEIRA RADIAL 8,8X10,5MM",DEWPA,"6,85","5,000",NJ1-01,
DEW13290,"ABRACADEIRA RADIAL 9,60X11,35MM",DEWPA,"5,30","10,000",NJ1-01,
A51,ABRACADEIRA ROSCA SEM FIM 1 1/2 A 2,DEWPA,"9,62","60,000",NJ1-02,
LF435N,ABRACADEIRA ROSCA SEM FIM 1 1/4 A1 3/4,LAFER,"0,00","0,000",NJ1-02,
A44,ABRACADEIRA ROSCA SEM FIM 1 1/4 A1 3/4,DEWPA,"9,62","40,000",NJ1-02,
DEW01570,ABRACADEIRA ROSCA SEM FIM 1 3/4 A2 1/4,DEWPA,"11,71","0,000",F9-04,
A57,ABRACADEIRA ROSCA SEM FIM 1 3/4 A2 1/4,DEWPA,"8,82","24,000",F9-04,
A38,ABRACADEIRA ROSCA SEM FIM 1 A 1 1/2,DEWPA,"9,21","48,000",NJ1-02,
A19,ABRACADEIRA ROSCA SEM FIM 1/2 A 3/4,DEWPA,"5,51","53,000",NJ1-01,
A22,ABRACADEIRA ROSCA SEM FIM 1/2 A 7/8,DEWPA,"5,78","41,000",NJ1-01,
A76,ABRACADEIRA ROSCA SEM FIM 2 1/2 A 3,DEWPA,"12,13","14,000",F9-04,
A70,ABRACADEIRA ROSCA SEM FIM 2 1/4 A2 3/4,DEWPA,"10,55","9,000",F9-04,
A64,ABRACADEIRA ROSCA SEM FIM 2 A 2 1/2,DEWPA,"8,40","9,000",F9-04,
A102,ABRACADEIRA ROSCA SEM FIM 3 1/2 A 4,DEWPA,"15,33","8,000",F9-04,
A89,ABRACADEIRA ROSCA SEM FIM 3 A 3 1/2 COIFA CAMBIO UNO PALIO,DEWPA,"12,40","9,000",F9-04,
A32,ABRACADEIRA ROSCA SEM FIM 3/4 A 1 1/4,DEWPA,"6,07","33,000",NJ1-02,
A16,ABRACADEIRA ROSCA SEM FIM 3/8 A 5/8,DEWPA,"5,51","61,000",NJ1-01,
LF435B,ABRACADEIRA ROSCA SEM FIM 5/16 A 1/2,LAFER,"0,00","0,000",NJ1-01,
A13,ABRACADEIRA ROSCA SEM FIM 5/16 A 1/2,DEWPA,"5,25","40,000",NJ1-01,
A11,ABRACADEIRA ROSCA SEM FIM 5/16 A 3/8,DEWPA,"5,51","64,000",NJ1-01,
A27,ABRACADEIRA ROSCA SEM FIM 5/8 A 1 1/6,DEWPA,"5,78","33,000",NJ1-02,
A83,ABRACADEIRA ROSCA SEM FIM2 3/4 A3 1/4,DEWPA,"12,13","9,000",F9-04,
